tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b3582	144.767	148.64	929.302	81.3238	559.102
b3583	332.035	322.786	794.549	214.506	628.78
b3584	49.1412	660.524	712.382	40.0726	700.137
b3585	864.62	1336	2704.92	592.838	1247.49
b3586	159.377	812.681	2123.18	141.433	1441.41
b3587	21.2503	99.3864	572.7	22.3935	177.972
b3588	116.876	346.533	1222.64	238.078	867.196
b3589	59.7663	289.364	1134.72	64.8233	445.771
b3590	7041.8	3598.14	2465.81	6213.61	5139.37
b3591	3672.31	2958.72	1293.3	4143.98	3089.33
b3592	2637.69	1191.76	738.676	1474.43	840.332
b3593	173.986	366.762	899.722	269.901	997.317
b3594	104.923	345.653	996.678	160.29	510.412
b3595	156.721	472.305	1056.66	126.111	948.627
b3596	38.5161	82.6754	751.822	28.2865	123.405
b3597	494.068	625.343	1598.14	372.439	896.578
b3598	211.174	282.328	408.367	168.541	465.918
b3599	2734.64	998.261	2913.62	2544.61	1365.85
b3600	6522.5	2454.76	2519.22	5250.69	2856.79
b3601	2550.03	1450.34	1354.1	1625.3	1929.99
b3602	3767.94	2185.62	1571.84	3146.88	1855.28
b3603	613.601	838.188	1515.15	2386.68	3982.55
b3604	438.286	430.088	1455.17	1342.43	1799.87
b3605	2322.92	1177.68	2964.56	2299.46	4288.13
b3606	1187.36	1482	1059.95	889.847	1967.77
b3607	7480.09	5884.02	2930.87	5270.72	5718.62
b3608	23201.3	10540.2	4185.55	15760.3	11470.8
b3609	22697.9	8716.1	3810.88	14520.4	5914.23
b3610	10327.6	3914.77	1538.98	7645.61	3415.9
b3611	10921.3	5951.75	2870.89	9094.12	4049.71
b3612	50283.4	20094.5	4312.09	26485.6	14138.7
b3613	9558.63	7040.6	2356.53	8638	4926.98
b3614	3215.43	4110.9	2308.05	2644.79	3427.65
b3615	386.489	3487.32	5347.39	298.187	3089.33
b3616	24343.5	20325.8	6360.5	14192.8	12620.1
b3617	11767.3	3990.41	2356.53	6002.64	4822.89
b3618	13610.8	26703.3	8090.1	8060.48	6611.85
b3619	18204.8	8426.73	3035.23	13968.8	7484.08
b3620	8068.46	4263.94	2893.08	6591.94	4717.95
b3621	5046.93	6232.32	3888.11	5223.58	5767.32
b3622	10002.2	14133.1	17224.5	9366.37	6664.73
b3623	517.975	808.284	1784.65	424.298	418.907
b3624	350.629	408.1	2969.49	156.754	245.971
b3625	2990.97	6913.95	4396.72	3384.95	1687.38
b3626	1290.95	999.141	2324.49	657.662	270.317
b3627	3572.7	3057.23	3886.47	2146.24	1553.9
b3628	3708.17	3167.17	4084.49	2189.85	1548.86
b3629	228.44	129.29	201.308	144.968	95.7022
b3630	3285.82	2192.66	2099.35	1881.05	1597.55
b3631	4134.5	3073.06	3811.7	2543.43	2902.97
b3632	4450.6	3024.69	2833.92	2462.11	2322.04
b3633	7909.08	6477.7	3045.09	5672.63	4378.79
b3634	2805.03	2482.02	1371.36	1444.97	1617.7
b3635	1743.85	4234.91	2927.59	1185.68	4659.18
b3636	41075.4	29211.7	17550.7	30347.9	15802.6
b3637	98429.8	75398.2	49481.4	81903.6	48400.1
b3638	7821.42	6085.44	2734.5	7136.45	2731.71
b3639	15879.3	12992.3	1886.54	15378.4	7474.84
b3640	5684.44	2613.07	889.04	3291.84	2500.85
b3641	13219	11873.6	2500.32	11563.3	6279.41
b3642	309.457	1891.86	1806.02	441.977	2430.33
b3643	6863.83	5853.24	2248.07	5052.68	3323.55
b3644	9640.97	5596.42	2663.01	5299.01	3434.36
b3645	251.019	1429.23	1365.61	322.938	1245.81
b3646	4344.35	1634.16	1196.34	885.132	872.233
b3647	467.506	2290.28	3520.01	272.258	2669.59
b3648	13990.6	17622.2	4864.25	12596.9	8222.83
b3649	11685	6153.16	2147.83	4872.35	4056.43
b3650	37765.7	31221.4	10208.3	27351.9	20648.2
b3651	6599.53	10015.2	6395.83	5538.27	6755.4
b3652	11926.7	16673.2	12517.2	8348.06	12928.2
b3653	1597.75	2451.24	4697.45	1624.12	2255.72
b3654	52319.4	30964.6	11540.3	14488.6	15232.6
b3655	5604.75	16167.4	23234.2	4371.45	11323.1
b3656	1119.62	4161.03	29003.9	894.561	3897.76
b3657	209.846	487.257	8435.2	202.72	719.445
b3658	294.847	1395.81	316.341	308.795	721.964
b3659	83.6729	2817.12	5516.65	99.0028	3983.39
b3660	1301.58	3155.74	12390.7	1772.62	4142.06
b3661	839.385	1820.62	7916.73	1449.68	2615.86
b3662	1530.02	1250.69	2844.6	761.379	1221.46
b3663	209.846	263.858	673.764	202.72	407.993
b3664	102.267	452.956	1999.93	69.5377	944.429
b3665	1163.45	1808.3	3359.78	1382.5	2805.58
b3666	111.564	409.859	1495.43	142.611	827.74
b3667	531.256	925.261	1339.31	482.049	2100.41
b3668	1012.04	1603.37	1563.63	949.956	1584.96
